STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-26,,75,59,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-27,,85,54,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-28,,85,61,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-29,,92,53,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-30,,92,69,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-01,,85,58,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-02,,79,60,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-03,,84,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-04,,86,70,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-05,,89,70,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-06,,83,64,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-07,,88,67,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-08,,84,70,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-09,,86,64,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-10,,85,70,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-11,,87,67,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-12,,87,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-13,,76,60,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-14,,87,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-15,,91,71,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-16,,88,68,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-17,,91,67,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-18,,97,73,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-19,,92,75,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-20,,90,72,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-21,,87,72,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-22,,92,70,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-23,,80,64,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-24,,81,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-25,,78,54,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-26,,77,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-27,,83,61,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-28,,76,59,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-29,,81,59,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-30,,89,58,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-07-31,,86,65,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-01,,84,66,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-02,,96,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-03,,87,64,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-04,,86,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-05,,93,67,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-06,,82,70,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-07,,77,59,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-08,,77,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-09,,84,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-10,,86,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-11,,83,61,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-12,,75,61,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-13,,72,61,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-14,,75,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-15,,78,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-16,,81,63,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-17,,83,65,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-18,,79,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-19,,74,61,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-08-20,,76,61,
